type,label
http://www.wikidata.org/entity/Q11173,spojina
http://www.wikidata.org/entity/Q11173,chemical compound
http://www.wikidata.org/entity/Q11173,chemische Verbindung
http://www.wikidata.org/entity/Q11177771,artistieke techniek
http://www.wikidata.org/entity/Q11177771,künstlerische Technik
http://www.wikidata.org/entity/Q11177771,taiteellinen tekniikka
http://www.wikidata.org/entity/Q11177771,umetniška tehnika
http://www.wikidata.org/entity/Q11177771,artistic technique
http://www.wikidata.org/entity/Q11183017,Freilichtbühne
http://www.wikidata.org/entity/Q11183017,kesäteatteri
http://www.wikidata.org/entity/Q11183017,open-air theatre
http://www.wikidata.org/entity/Q11183017,openluchttheater
http://www.wikidata.org/entity/Q112110,Emblem
http://www.wikidata.org/entity/Q112110,emblema
http://www.wikidata.org/entity/Q112110,emblem
http://www.wikidata.org/entity/Q112110,emblem
http://www.wikidata.org/entity/Q112110,embleemi
http://www.wikidata.org/entity/Q112132542,palazzo museum
http://www.wikidata.org/entity/Q112193867,class of disease
http://www.wikidata.org/entity/Q112193867,klasse van een ziekte
http://www.wikidata.org/entity/Q112193867,Krankheitsklasse
http://www.wikidata.org/entity/Q112193867,razred bolezni
http://www.wikidata.org/entity/Q1123037,Kinderreim
http://www.wikidata.org/entity/Q1123037,kindervers of -rijm
http://www.wikidata.org/entity/Q1123037,loru
http://www.wikidata.org/entity/Q1123037,nursery rhyme
http://www.wikidata.org/entity/Q112307131,anthropomorphic fruit
http://www.wikidata.org/entity/Q1125338,book cover
http://www.wikidata.org/entity/Q1125338,Einband
http://www.wikidata.org/entity/Q1125338,kirjankansi
http://www.wikidata.org/entity/Q1125338,boekband
http://www.wikidata.org/entity/Q112584860,music roll release
http://www.wikidata.org/entity/Q112823017,
http://www.wikidata.org/entity/Q112826905,class of anatomical entity
http://www.wikidata.org/entity/Q112826905,Klasse anatomischer Entitäten
http://www.wikidata.org/entity/Q112826905,klasse van anatomische entiteit
http://www.wikidata.org/entity/Q112826905,vrsta anatomske entitete
http://www.wikidata.org/entity/Q1128397,Konvent
http://www.wikidata.org/entity/Q1128397,Konventti
http://www.wikidata.org/entity/Q1128397,convent
http://www.wikidata.org/entity/Q1128397,convent
http://www.wikidata.org/entity/Q11285759,armchair
http://www.wikidata.org/entity/Q11285759,Armlehnstuhl
http://www.wikidata.org/entity/Q11285759,armstoel
http://www.wikidata.org/entity/Q11285759,nojatuoli
http://www.wikidata.org/entity/Q112965645,simptom ali znak
http://www.wikidata.org/entity/Q112965645,Symptom oder Anzeichen
http://www.wikidata.org/entity/Q112965645,symptom or sign
http://www.wikidata.org/entity/Q112965645,symptoom of teken (klasse)
http://www.wikidata.org/entity/Q1129743,podružnična cerkev
